sensor_id,x,y,z,zone_id,grottoe_id
C35,15.993,-3.776,6.155,0,9
C36,20.334,-2.557,5.844,0,9
D01,-3.8,16.858,8.862,1,10
D02,-1.966,17.665,8.082,1,10
D03,1.128,17.6,8.382,1,10
D04,2.941,17.54204,7.882,1,10
D05,-3.818,15.098,8.732,1,10
D06,-1.086,15.098,8.862,1,10
D07,0.95,15.098,8.882,1,10
D08,2.74,15.588,8.082,1,10
D09,-3.89,11.948,8.382,1,10
D10,-1.136,12.70916,8.882,1,10
D11,1,12.48486,9.182,1,10
D12,3.696,12.92964,8.582,1,10
D13,-6.127,8.852,8.982,0,10
D14,-1.927,9.182,9.182,0,10
D15,1.295,8.852,9.782,0,10
D16,4.374,8.852,9.632,0,10
D17,-5.532,5.407,9.6,0,10
D18,-2.692,5.85238,10.582,0,10
D19,0.762,5.652,10.782,0,10
D20,4.374,5.915,9.74882,0,10
D21,-4.92,2.052,10.93,0,10
D22,-2.147118,2.789057,10.93,0,10
D23,1.969,2.071,10.93,0,10
D24,5.204,2.09,10.93,0,10
D25,-4.897,-0.798,10.782,0,10
D26,-1.66792,-0.798,10.782,0,10
D27,1.02,-1.29,10.782,0,10
D29,-4.877114,-3.735676,10.782,0,10
D30,0.171947,-3.930387,10.782,0,10
D31,1.02,-3.930387,10.782,0,10
D32,5.320386,-3.774225,10.782,0,10
